"date","ts1","te1","ts2","te2","ts3","te3","ts4","te4","ts5","te5","total","avg"
16-12-2014,04:08 AM,08:10 AM,05:05 PM,07:20 PM,,,,,,,06:17,06:17:00
17-12-2014,02:55 AM,07:50 AM,10:05 PM,11:59 PM,,,,,,,06:49,06:33:00
18-12-2014,12:01 AM,08:15 AM,04:40 PM,08:40 PM,,,,,,,12:14,08:26:40
19-12-2014,06:15 AM,09:45 AM,,,,,,,,,03:30,07:12:30
20-12-2014,01:30 AM,12:15 PM,,,,,,,,,10:45,07:55:00
21-12-2014,03:30 AM,09:25 AM,,,,,,,,,05:55,07:35:00
22-12-2014,01:15 AM,07:05 AM,,,,,,,,,05:50,07:20:00
23-12-2014,01:45 AM,07:00 AM,,,,,,,,,05:15,07:04:23
24-12-2014,02:00 AM,07:00 AM,10:40 PM,11:59 PM,,,,,,,06:19,06:59:20
25-12-2014,12:01 AM,07:00 AM,11:45 PM,11:59 PM,,,,,,,07:13,07:00:42
26-12-2014,12:01 AM,03:24 AM,02:00 PM,05:00 PM,10:20 PM,11:59 PM,,,,,08:02,07:06:16
27-12-2014,12:01 AM,05:10 AM,07:25 AM,09:10 AM,08:10 PM,09:25 PM,10:45 PM,11:50 PM,,,09:14,07:16:55
28-12-2014,12:30 AM,03:20 AM,04:00 AM,09:10 AM,10:00 PM,11:59 PM,,,,,09:59,07:29:23
29-12-2014,12:01 AM,02:00 AM,05:40 AM,07:30 AM,11:48 PM,11:59 PM,,,,,04:00,07:14:26
30-12-2014,12:01 AM,07:00 AM,10:00 PM,11:59 PM,,,,,,,08:58,07:21:20
31-12-2014,12:01 AM,07:00 AM,09:30 PM,11:59 PM,,,,,,,09:28,07:29:15
01-01-2015,12:01 AM,06:28 AM,10:30 PM,11:59 PM,,,,,,,07:56,07:30:49
02-01-2015,12:01 AM,06:35 AM,12:30 PM,02:30 PM,11:40 PM,11:59 PM,,,,,08:53,07:35:23
03-01-2015,12:01 AM,07:05 AM,01:15 PM,02:00 PM,,,,,,,07:49,07:36:06
04-01-2015,01:10 AM,07:20 AM,07:25 AM,09:34 AM,,,,,,,08:19,07:38:15
05-01-2015,12:30 AM,07:00 AM,06:00 PM,11:59 PM,,,,,,,12:29,07:52:06
06-01-2015,12:01 AM,07:00 AM,,,,,,,,,06:59,07:49:41
07-01-2015,02:00 AM,07:20 AM,,,,,,,,,05:20,07:43:10
08-01-2015,02:40 AM,07:49 AM,11:30 PM,11:59 PM,,,,,,,05:38,07:37:58
09-01-2015,12:01 AM,10:15 AM,,,,,,,,,10:14,07:44:12
10-01-2015,05:05 AM,10:10 AM,,,,,,,,,05:05,07:38:05
11-01-2015,03:00 AM,10:00 AM,,,,,,,,,07:00,07:36:40
12-01-2015,05:00 AM,10:25 AM,,,,,,,,,05:25,07:31:58
13-01-2015,04:15 AM,09:55 AM,,,,,,,,,05:40,07:28:06
14-01-2015,02:30 AM,10:59 AM,,,,,,,,,08:29,07:30:08
15-01-2015,01:30 AM,10:30 AM,,,,,,,,,09:00,07:33:02
